month,monthly_revenue
01-09-2016 00:00,267.36
01-10-2016 00:00,49507.66
01-12-2016 00:00,10.9
01-01-2017 00:00,120312.87
01-02-2017 00:00,247303.02
01-03-2017 00:00,374344.3
01-04-2017 00:00,359927.23
01-05-2017 00:00,506071.14
01-06-2017 00:00,433038.6
01-07-2017 00:00,498031.48
01-08-2017 00:00,573971.68
01-09-2017 00:00,624401.69
01-10-2017 00:00,664219.43
01-11-2017 00:00,1010271.37
01-12-2017 00:00,743914.17
01-01-2018 00:00,950030.36
01-02-2018 00:00,844178.71
01-03-2018 00:00,983213.44
01-04-2018 00:00,996647.75
01-05-2018 00:00,996517.68
01-06-2018 00:00,865124.31
01-07-2018 00:00,895507.22
01-08-2018 00:00,854686.33
01-09-2018 00:00,145
